name,address,contact_person,telephone,fax,email,website,organisation,organisation_website
"AWO Sozialstation ""Außenstelle "", Niederwiesa","Mühlenstraße 10
09577 Niederwiesa",Pflegedienstleiterin: Frau Liebers,03726/713846,03726/713844,qm@awo-freiberg.de,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Sozialstation Dresden-Gorbitz, Dresden","Amalie-Dietrich-Platz 7
01169 Dresden",,0351 42283-0,0351 42283-14,mail9@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Sozialstation Mitte, Chemnitz","Hainstraße 31
09130 Chemnitz",Frau: Kerstin Rymer,0371 /4444220,0371 /4444222,sst-mitte@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/sozialstationen/kontakt-sst-mitte,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"AWO Sozialstation Mittweida, Mittweida","Lauenhainer Str. 43
09648 Mittweida",Ansprechpartnerin: Frau Gläsner,03727-2940,03727-2954,sstmittweida@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Sozialstation Ost, Chemnitz","Max-Saupe-Straße 43
09131 Chemnitz",Frau: Silvia Poppitz,0371 272501-40,0371 272501-41,sst-ost@awo-chemnitz.de,http://https://www.awo-chemnitz.de/index.php/senioren/sozialstationen/kontakt-sst-ost,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"AWO Sozialstation Osterzgebirge, Bad Gottleuba","Königstraße 1
01816 Bad Gottleuba",,035023-62362,035023-51827,mail10@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Sozialstation | Dresden-Prohlis, Dresden","Herzberger Straße 2-4
01239 Dresden",,0351 28916-14,035128916-17,mail8@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Sozialstation, Häusliche Pflege Pflegebereich I und II, Freiberg","Karl-Günzel-Straße 1
09599 Freiberg",Ansprechpartnerin: Natalie Heide,03731/795-544,,,http://www.awo-freiberg.de,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Tagespflege, Breitenbrunn","Am Weißwald 9
08359  Breitenbrunn",Anrede: Vorname Nachname, 037756 10-500,037756 10-506,mail25@awo-in-sachsen.de,http://www.awo-in-sachsen.de,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Tagespflege, Freiberg","Forstweg 69
09599 Freiberg",Leiterin: Dana Richter,03731/795-731,,,,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"AWO Tagespflege im Seniorenzentrum ""Prof. Rainer Fetscher"", Dresden","Jonsdorfer Straße 20
01259 Dresden",,0351-2042-0,0351-2042-200,mail2@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Tagespflege Mittweida, Mittweida","Weberstraße 52
09648 Mittweida",Ansprechpartnerin: Frau Saremba,03727 64043-0,03727 64043-24,tpmittweida@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Werkstätten Sachsen-West - Zweigwerkstatt Eilenburg, Eilenburg","Gustav-Adolf-Ring 10
04838 Eilenburg",Werkstattleiter: Jörg Zschörnig,(03423) 75850,(03423) 7585102,j.zschoernig@awowerkstaetten.de,http://www.awo-sachsen-west.de/werkstatt-eilenburg,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Werkstätten Sachsen-West - Zweigwerkstatt Grimma, Grimma","Hengstbergstraße 4
04668 Grimma",Werkstattleiter: Andreas Panke,(03437) 76050,(03437) 760515,a.panke@awowerkstaetten.de,http://www.awo-sachsen-west.de/werkstatt-grimma,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Werkstätten Sachsen-West - Zweigwerkstatt Markkleeberg, Markkleeberg","Hauptstraße 130-134
04416 Markkleeberg",Werkstattleiter: Dieter Schumann,(0341) 3588012,(0341) 3581171,d.schumann@awowerkstaetten.de,http://www.awo-sachsen-west.de/werkstatt-markkleeberg,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Werkstätten Sachsen-West - Zweigwerkstatt Wurzen, Wurzen","Schiemannstr. 7
04808 Wurzen",Werkstattleiter: René Schneider,(03425) 90570,(03425) 905725,r.schneider@awowerkstaetten.de,http://www.awo-sachsen-west.de/werkstatt-wurzen,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Werkstätten Sachsen-West- Hauptwerkstatt Leipzig, Leipzig","Braunstraße 27-29
04347 Leipzig",Werkstattleiter: Udo Richter,(0341) 239230,(0341) 23 92 456,u.richter@awowerkstaetten.de,http://www.awo-sachsen-west.de/werkstatt-leipzig,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Wohn- und Wohnpflegeheim für behinderte Menschen, Dippoldiswalde","Bergstraße 137
01744 Dippoldiswalde",,03504 694810,03504 694811,wh.seifersdorf@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnen für wohnungslose Senioren, Dresden","Prohliser Allee 3-5
01239 Dresden",,0351 50048760,0351 42696485,mail26@awo-in-sachsen.de,,AWO Sachsen Soziale Dienste gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnheim für behinderte Kinder und Jugendliche, Pirna","Otto-Walther-Straße 16
01796 Pirna",,03501 5822-0,03501 5822-301,wh.pirna2@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnheim für behinderte Menschen, Dresden","Dohnaer Straße 368 b
01259 Dresden",,0351 41749-0,0351 47149-11,wh.luga@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnheim für behinderte Menschen, Pirna","Otto-Walther-Straße 14 a
01796 Pirna",,03501 710971,03501 710978,wh.pirna1@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnheim für körperbehinderte Kinder und Jugendliche, Dresden","Fischhausstraße 12 a
01099 Dresden",,0351 26631-0,0351 26631-12,wh.fischhaus@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnheim Höfgen, Grimma/OT Höfgen","Dorfstraße 15
04668 Grimma/OT Höfgen",Einrichtungsleiter: Olav Chemnitz,(03437) 7075080,(03437) 70750818,chemnitz@awo-wohnheim-hoefgen.de,http://www.awo-sachsen-west.de/wohnheim-hoefgen,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Wohnheim Wurzen, Wurzen","Warsteiner Str. 2
04808 Wurzen",Einrichtungsleiter: Olav Chemnitz,(03425) 920154,(03425) 8531999,chemnitz@awo-wohnheim-hoefgen.de,http://www.awo-sachsen-west.de/wohnheim-wurzen,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Wohnpflegeheim für Menschen mit Körperbehinderungen, Dresden","Max-Liebermann-Straße 1
01217 Dresden",,0351 47783-0,0351 47783-99,wh.liebermann@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"AWO Wohnstätten - Assitenz in der eigenen Wohnung , Löbau","Richard-Müller-Straße 14
02708 Löbau",Leiter: Michael Müller,03585/4674010,03585/4674019,m.mueller@awo-oberlausitz.de,http://awo-oberlausitz.de/eingliederungshilfe-wohnen/wohnstaetten-fuer-menschen-mit-behinderungen-assistenz-in-der-eigenen-wohnung/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"AWO Wohnstätten Bad Lausick, Bad Lausick","Erich- Weinert-Str. 15
04651 Bad Lausick",Einrichtungsleiterin: Manuela Bauersachs,(034345) 553980,(034345) 5539823,manuela.bauersachs@awo-sachsen-west.de,http://www.awo-sachsen-west.de/wohnstaetten-bad-lausick,AWO Senioren- und Sozialzentrum gGmbH Sachsen-West,http://www.awo-sachsen-west.de
"AWO Wohnzentrum für Menschen mit Behinderung, Mittweida","
09648 Mittweida",Ansprechpartnerin: Frau Seydel,03727/96910,03727/9691124,bwhmittweida@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Wohnzentrum für Menschen mit Behinderung, Werdau","Am Zwickauer Marktsteig 10
08412 Werdau",Ansprechpartnerin: Frau Schneider,03761-18130,03761-181324,bwhwerdau@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO Wohnzentrum für Menschen mit Behinderung, Mittweida","Wiesenstraße 3
09648 Mittweida",Ansprechpartnerin: Frau Seydel,03727-96910,03727-9691124,bwhmittweida@awo-suedsachsen.de,http://www.awo-suedsachsen.de,AWO Südsachsen gemeinnützige GmbH,http://www.awo-suedsachsen.de
"AWO-Altenpflegeheim ""Anton Günther"", Bärenstein","Anton-Günther-Weg 7
09471 Bärenstein",Heimleiterin: Ines Krauße,037347/181-0,037347/181-16,ines.krausse@awo-annaberg.de,,AWO Kreisverband Annaberg/Mittleres Erzgebirge e.V.,http://www.awo-annaberg.de
"Barrierefreies Wohnen, Löbau","Straße der Jugend 2
02708 Löbau",Ansprechpartner: Karsten Reinke,03585/867571,03585/867515,k.reinke@awo-oberlausitz.de,http://awo-oberlausitz.de/eingliederungshilfe-wohnen/wohnungen/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Begegnungsstätte ""Neue Heimat"", Bad Düben","Postweg 6
04849 Bad Düben",Ansprech-partner: Melanie Burkhardt,034243/29163,034243/29136,,www.awo-nordsachsen.de,AWO Kreisverband Nordsachsen e.V.,http://www.awo-nordsachsen.de
"Begegnungsstätte Grünau, Leipzig","Dölziger Weg 2
04205 Leipzig",Herr: Heiko Kunze,0341/4112073,,sst1@awo-leipzig-stadt.de,http://www.awo-leipzig-stadt.de/begegnungsstaetten/unser-anliegen/,AWO Kreisverband Leipzig-Stadt e.V.,http://www.awo-leipzig-stadt.de
"Begegnungsstätte Grünau-Nord, Leipzig","Jupiterstraße 2
04205 Leipzig",Frau: Jana Most,0341/ 31957630,,,http://www.awo-leipzig-stadt.de/begegnungsstaetten/unser-anliegen/,AWO Kreisverband Leipzig-Stadt e.V.,http://www.awo-leipzig-stadt.de
"Begegnungsstätte Lindenau, Leipzig","Rietschelstraße 59
04177 Leipzig",Herr: Frank Kaupe,0341/44928759,,sst2@awo-leipzig-stadt.de,http://www.awo-leipzig-stadt.de/begegnungsstaetten/unser-anliegen/,AWO Kreisverband Leipzig-Stadt e.V.,http://www.awo-leipzig-stadt.de
"Begegnungsstätte „Mobil“, Chemnitz","Leipziger Straße 167
09114 Chemnitz",Frau: Elke Beier,0371 373286,,mobil@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/begegnungsstaette,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Begegnungszentrum, Zwickau","Kosmonautenstraße 9
08066 Zwickau",Leiterin: Sandra Morgner,0375 / 47 59 97,0375 / 4 35 92 44,soziale.dienste@awo-zwickau.de,http://https://www.awo-zwickau.de/altenhilfe/awo-treff,AWO gemeinnützige GmbH Zwickau - Soziale Betreuung,http://www.awo-suedwestsachsen.de
"Begegnungszentrum Sozial-Kulturelles-Zentrum, Freiberg","Karl-Günzel-Str. 1
09599 Freiberg",Ansprechpartnerin: Ines  Beckert,03731/795-542,,,,AWO Kreisverband Freiberg e.V.,http://www.awo-freiberg.de
"Beratungsstelle, Borna","Kirchstr. 8
04552 Borna",Leiterin: Jeannette Hartmann,03433/803165,03433/248145,beratungsstelle@awo-leipzigerland.de,http://www.awo-leipzigerland.de,AWO Kita und ambulante Dienste GmbH,http://www.awo-leipzigerland.de
"Beratungsstelle für Betreutes Wohnen, Chemnitz","Clara-Zetkin-Straße 1
09111 Chemnitz",Frau: Barbara Wehr,0371 6956-135,,barbara.wehr@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/betreutes-wohnen-fuer-senioren,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Beratungsstelle für Inhaftierte, Haftentlassene und deren Angehörige (BS), Chemnitz","Wiesenstraße 10
09111 Chemnitz",Frau: Maria Seifert,0371 6742627,0371 6742625,fsh@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/beratung-und-hilfe/straffaelligenhilfe/2013-11-04-11-02-38,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Beratungsstelle für Kinder, Jugendliche und Eltern, Dippoldiswalde","Niedertorstraße 6
01744 Dippoldiswalde",Psychologin: Sabine Baronick,03504 615515,03504 6941935,erziehungsberatung@awo-weisseritzkreis.de,www.awo-weisseritzkreis.de,AWO Kreisverband Weißeritzkreis e.V.,http://www.awo-weisseritzkreis.de
"Beratungsstelle für Kinder, Jugendliche und Familien, Bautzen","Löbauer Straße 48
02625 Bautzen",Leiterin: Ramona Nitschke,03591326120,035913261128,ezbbz@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Beratungsstelle für Kinder, Jugendliche und Familien Außenstelle Bischofswerda, Bischofswerda","Lutherstraße 18
02625 Bischofswerda",Ansprechpartnerin: Ilse Steudner,03594703313,03594714713,ezbbiw@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Beratungsstelle für Kinder, Jugendliche und Familien Kamenz, Kamenz","Macherstraße 5
01917 Kamenz",Leiterin: Katrin Förster,03578308075,03578774576,ezbkmz@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Beratungsstelle für Schwangerschaft und Familie, Hohenstein-Ernstthal","Lungwitzer Straße 39
09337 Hohenstein-Ernstthal",Leiterin: Ines Uhlmann,03723 / 71 10 86,03723 / 62 86 07,schwangerenberatung@awo-zwickau.de,http://https://www.awo-zwickau.de/beratungsstellen/schwangeren-und-familienberatung,AWO Kreisverband Zwickau e.V.,http://www.awo-suedwestsachsen.de
"Beratungsstelle für Schwangerschaft und Partnerschaft, Schönheide","Stützengrüner Straße 2
08304 Schönheide",Ansprechpartner: Gabi Nitsche,037755 4140,037755 55163,beratung-schoenheide@awo-erzgebirge.de,http://https://www.awo-erzgebirge.de/index.php/angebote/iberatung-und-beratungsstellen,AWO Kreisverband Aue/Schwarzenberg e.V.,http://www.awo-erzgebirge.de
"Betreute Wohnanlage „Hainstraße“, Chemnitz","Hainstraße 35
09130 Chemnitz",Frau: Daniela Langer,0371 4444210,0371 4444-211,bw.hainstrasse@awo-chemnitz.de ,http://www.awo-chemnitz.de/index.php/senioren/betreutes-wohnen-fuer-senioren/unsere-wohnanlagen/bw-wohnanlage-hainstrasse,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Betreute Wohnanlage „Max Saupe Straße“, Chemnitz","Max-Saupe-Straße 43
09131 Chemnitz",Frau: Anett Tschakarov,0371 46676302,,bw.max-saupe-strasse@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/betreutes-wohnen-fuer-senioren/unsere-wohnanlagen/bw-wohnanlage-max-saupe-strasse,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Betreute Wohnanlage „Stollberger Straße“, Chemnitz","Stollberger Straße 90
09119 Chemnitz",Frau: Evelyn Mank,0371 2787200,,bw.stolli@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/betreutes-wohnen-fuer-senioren/unsere-wohnanlagen/bw-wohnanlage-stollberger-strasse,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Betreutes Seniorenwohnen, Radeberg","Pulsnitzer Str. 67
01454 Radeberg",Ansprechpartnerin: Sabine Tamme,03528/416916,03528/ 4526637,betreutes-wohnen@awo-radeberg.de,http://www.awo-radeberg.de,AWO Regionalverband Radeberger Land e.V.,http://www.awo-radeberg.de
"Betreutes Seniorenwohnen Bischofswerda, Bischofswerda","Neumarkt 12
01877 Bischofswerda",Ansprechpartnerin: Marlene Worm,03594779324,03494779326,seniorengerechteswohnen@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Betreutes Wohnen, Bad Düben","Neumärker Straße 1
04849 Bad Düben",Ansprech-partner: Silke Kanemeier,034243/51308,034243/51309,silke.kanemeier@awo-nordsachsen.de,http://www.awo-nordsachsen.de,AWO Kreisverband Nordsachsen e.V.,http://www.awo-nordsachsen.de
"Betreutes Wohnen ""Service Wohn Park am Kosmoscenter"", Zwickau","Kosmonautenstraße 3-9, 18-25
08066 Zwickau",Leiterin: Sandra Morgner,0375 / 47 59 97,0375 / 4 35 92 44,soziale.dienste@awo-zwickau.de,http://https://www.awo-zwickau.de/altenhilfe/betreutes-wohnen,AWO gemeinnützige GmbH Zwickau - Soziale Betreuung,http://www.awo-suedwestsachsen.de
"Betreutes Wohnen ""Wohnanlage Blumenhof"", Zwickau","Kosmonautenstraße 90
08066 Zwickau",Leiterin: Sandra Morgner,0375 / 47 59 97,0375 / 4 35 92 44,soziale.dienste@awo-zwickau.de,http://https://www.awo-zwickau.de/altenhilfe/betreutes-wohnen,AWO gemeinnützige GmbH Zwickau - Soziale Betreuung,http://www.awo-suedwestsachsen.de
"Betreutes Wohnen ""Wohnpark Marienthal"", Zwickau","Steinpleiser Str. 2-10
08060 Zwickau",Leiterin: Sandra Morgner,0375 / 5 97 17 92,0375 / 5 97 17 93,wohnpark.marienthal@awo-zwickau.de,http://https://www.awo-zwickau.de/altenhilfe/betreutes-wohnen,AWO gemeinnützige GmbH Zwickau - Soziale Betreuung,http://www.awo-suedwestsachsen.de
"Betreutes Wohnen für Suchtkranke Jenkwitz, Jenkwitz","Sandweg 6
02627 Jenkwitz",Ansprechpartner: Britt Witschel,03591277391 und 03591/3261155,,suchtberatung@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Betreutes Wohnen „Schloßviertel“, Chemnitz","Winklerstraße 22 / Bergstraße 63/65/67
09113 Chemnitz",Frau: Ramona Uhlmann,0371 3378863,,bw.schlossviertel@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/betreutes-wohnen-fuer-senioren/unsere-wohnanlagen/bw-wohnanlage-winklerstrasse-bergstrasse,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Betreuungseinrichtung der Schule zur Lernförderung, Freital","Schulweg 2
01705 Freital",Leiterin: Silke Szautner,0351 6494033,0351 6469666,hort.foerderschulefreital@awo-weisseritzkreis.de,www.awo-weisseritzkreis.de,AWO Kreisverband Weißeritzkreis e.V.,http://www.awo-weisseritzkreis.de
"Betreuungshelfer gemäß § 30 SGB VIII und § 10, 24, 38 JGG, Bautzen","Löbauer Straße 48
02625 Bautzen",Ansprechpartner: Aline Reinsch,035913261126,035913261138,aline.reinsch@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Betreuungsweisung, Chemnitz","Wiesenstraße 10
09111 Chemnitz",Frau: Katja Potrykus,0371 67426-31,372 67426 25,btw@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/beratung-und-hilfe/straffaelligenhilfe-einrichtungen/2013-11-04-11-02-40,AWO Kreisverband Chemnitz und Umgebung e.V.,http://www.awo-chemnitz.de
"Betreuungsweisung, Grimma","Frauenkirchhof 1
04668 Grimma",Sozialpädagogin: Nicole Handke,03437 941982,03437 941984,massnahmen-jgh@awo-familienzentrum.org,http://www.awo-mulde-collm.de,AWO Familienzentrum gGmbH,http://www.awo-familienzentrum.org
"Betreuungsweisung nach § 30 SGB VIII, Bautzen","Löbauer Straße 48
02625 Bautzen",Ansprechpartner: Aline Reinsch,035913261126,035913261138,aline.reinsch@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Bibliothek, Bad Düben","Windmühlenweg 16
04849 Bad Düben",Frau: Angela Pietsch,034243/713520,034243/713529,bibo@awo-nordsachsen.de,,AWO Kreisverband Nordsachsen e.V.,http://www.awo-nordsachsen.de
"Bürgerhaus Drebach, Drebach","Am Zechengrund 4
09430 Drebach",Frau: Saskia Kuban,037341/48068 ,037341/48069,buergerhaus@awo-annaberg.de,http://www.buergerhaus-drebach.de,AWO Kreisverband Annaberg/Mittleres Erzgebirge e.V.,http://www.awo-annaberg.de
"Dienstleistungsnetzwerk support Sachsen, Geschäftsstelle Dresden/Ostsachsen, Dresden","Herzberger Straße 24/26
01239 Dresden",,0351 26745405,0351 26745406,support@awo-sonnenstein.de,,AWO SONNENSTEIN gemeinnützige GmbH,http://www.awo-in-sachsen.de
"Ergotherapie, Chemnitz","Max-Saupe-Straße 43
09131 Chemnitz",,0371 / 46676-112,,ergotherapie@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/senioren/ergotherapie,AWO Soziale Dienste Chemnitz und Umgebung gGmbH,http://www.awo-chemnitz.de
"Erziehungs- und Familienberatung, Glauchau","Otto-Schimmel-Str. 17
08371 Glauchau",Leiterin: Elke Zurek,03763 / 22 22,03763 / 40 06 16,erziehungsberatung.glauchau@awo-zwickau.de,http://https://www.awo-zwickau.de/beratungsstellen/erziehungs-und-familienberatung,AWO Kreisverband Zwickau e.V.,http://www.awo-suedwestsachsen.de
"Erziehungs- und Familienberatung, Schwarzenberg","Grünhainer Straße 2
08340 Schwarzenberg",Ansprechpartner: Manon Traxler,03774 178186,03774 178185,erziehungsberatung@awo-erzgebirge.de,http://https://www.awo-erzgebirge.de/index.php/angebote/iberatung-und-beratungsstellen,AWO Kreisverband Aue/Schwarzenberg e.V.,http://www.awo-erzgebirge.de
"Erziehungs- und Familienberatung, Löbau","Straße der Jugend 1
02708 Löbau",Leiterin: Claudia Riccius,03585/2113410,03585/2113419,erziehungsberatung-goerlitz@awo-oberlausitz.de,http://awo-oberlausitz.de/kinder-jugend-familie/erziehungs-und-familienberatung-loebau/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Erziehungsberatung – Beratungsstelle für Kinder, Jugend und Familie (EB), Chemnitz","Karl-Liebknecht-Straße 13
09111 Chemnitz",Frau: Ines Enge,0371/91899780,,eb@awo-chemnitz.de,http://www.awo-chemnitz.de/index.php/beratung-und-hilfe/erziehungsberatungsstelle-eb,AWO Kreisverband Chemnitz und Umgebung e.V.,http://www.awo-chemnitz.de
"Essen auf Rädern Hohenstein-Ernstthal, Hohenstein-Ernstthal","Lungwitzer Straße 39
09337 Hohenstein-Ernstthal",:  Nachname,03723 / 7 69 65 01,03723 / 7 69 65 04,sozialstation.hohenstein@awo-zwickau.de,http://https://www.awo-zwickau.de/altenhilfe/essen-auf-raedern,AWO gemeinnützige GmbH Zwickau - Soziale Betreuung,http://www.awo-suedwestsachsen.de
"Essen auf Rädern Zwickau, Zwickau","Salutstraße 1
08066 Zwickau",Leiterin: Sandra Morgner,0375 / 36 09 15 59,0375 / 36 09 16 51,soziale.dienste@awo-zwickau.de,http://https://www.awo-zwickau.de/altenhilfe/essen-auf-raedern,AWO gemeinnützige GmbH Zwickau - Soziale Betreuung,http://www.awo-suedwestsachsen.de
"Fachberatung Kindertagesstätten, Hoyerswerda","Schulstraße 14
02977 Hoyerswerda",Frau: Carina Israel,03571-4885610,03571-4885605,bl-kjh@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
"Fachberatung Sprachkita, Hoyerswerda","Schulstraße 14
02977 Hoyerswerda",Frau: Carina Israel,03571-4885610,03571-4885605,bl-kjh@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
"Fachklinik für Drogenrehabilitation Wermsdorf, Wermsdorf","Hubertusburg 39
04779 Wermsdorf",,034364 8839-0,034364 8839-39 ,info@shm-suchthilfe.de,,SHM Suchthilfe Mitteldeutschland gGmbH,http://www.awo-in-sachsen.de
"Fallschirmprojekt -Präventionsangebot für Kinder aus suchtbelasteten Familien, Bautzen","Löbauer Straße 48
02625 Bautzen",Anrede: Katharina Lux,03591/3261251,03591/3261148,suchtberatung@awo-bautzen.de,http://www.awo-bautzen.de,AWO Kreisverband Bautzen e.V.,http://www.awo-bautzen.de
"Familienbildung, Radeberg","Dr.-W.-Külz-Str. 6
01454 Radeberg",Leiterin: Doreen Pietzsch,03528/45555-27,,d.pietzsch@awo-radeberg.de,http://www.awo-radeberg.de,AWO Regionalverband Radeberger Land e.V.,http://www.awo-radeberg.de
"Familienbildung Familienvilla, Wurzen","Am Bahnhof 1
04808 Wurzen",Leiterin: Cornelia Zillies,03425 8519788,03425 851654,familienvilla@awo-mulde-collm.de,http://www.awo-mulde-collm.de,AWO Kreisverband Mulde-Collm e.V.,http://www.awo-mulde-collm.de
"Familienbildung Frühförderstelle Ergotherapie, Wurzen","Am Bahnhof 1
04808 Wurzen",,03425 851799,,Ergotherapie-Wurzen@awo-mulde-collm.de,http://www.awo-mulde-collm.de,AWO Kreisverband Mulde-Collm e.V.,http://www.awo-mulde-collm.de
"Familienbildung Frühförderstelle Wurzen, Wurzen","Am Bahnhof 1
04808 Wurzen",Leiterin: Kerstin Bosniakowski,03425 923232,03425 851654,Fruehfoerderstelle-Wurzen@awo-mulde-collm.de,http://www.awo-mulde-collm.de,AWO Kinderwelt gGmbH,http://www.awo-kinderwelt.de
"Familienbildung in Kooperation, Döbeln","Nordstraße 2
04720 Döbeln",Sozialpädagogin: Mandy Gausche,03431 601817,03431 678621,familienbildung@awo-familienzentrum.org,http://www.awo-mulde-collm.de,AWO Familienzentrum gGmbH,http://www.awo-familienzentrum.org
"Familienbüro ""Mosaik"", Olbersdorf","Zum Grundbachtal 3
02785 Olbersdorf",Leiterin: Jana Günther,03583 7972555,,mosaik@awo-oberlausitz.de,http://awo-oberlausitz.de/kinder-jugend-familie/familienbuero-mosaik-olbersdorf/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Familienbüro ""Satellit"", Löbau","Straße der Jugend 2
02708 Löbau",Leiterin: Carina Schindler-Meusel,03585/4521905,,satellit@awo-oberlausitz.de,http://awo-oberlausitz.de/kinder-jugend-familie/familienbuero-satellit-loebau/,AWO Kreisverband Oberlausitz e.V.,http://www.awo-oberlausitz.de
"Familienorientierte Außenwohngruppe Landhaus Lippen, Lippen","Lindenstr. 14
02999 Lippen",Frau: Carina Israel,03571-4885610,03571-4885605,bl-kjh@awo-lausitz.de,http://www.awo-lausitz.de,AWO Lausitz Pflege- und Betreuungs-gGmbH,http://www.awo-lausitz.de
